지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
400,2015-01-01,-6.8,-8.7,744,-3.8,1522,0,,0,8.7,1343,2.7,278.4
400,2015-01-02,-4.9,-7.5,817,-1.5,1530,0,,0,9.4,1330,2.2,289.7
400,2015-01-03,-2.1,-7.4,437,2.8,1544,0,,0,4.5,2035,1.3,205.3
400,2015-01-04,2.8,.6,559,7,1554,0,,0,3.7,913,.9,75.9
400,2015-01-05,3.8,-.8,700,8.4,1403,.5,2400,.5,4.2,304,1.3,75.9
400,2015-01-06,-2,-6,2346,4.7,1,1,200,2.5,8.7,829,2.5,264.4
400,2015-01-07,-4.2,-6.9,733,-1.1,1455,0,,0,6.9,619,1.8,272.8
400,2015-01-08,-3.4,-6.4,710,0,1548,0,,0,5.5,1419,1.6,284.1
400,2015-01-09,-1.1,-6,756,3,1542,0,,0,6.1,1255,1.6,267.2
400,2015-01-10,.9,-4,808,5,1535,0,,0,6.8,1447,1.5,289.7
400,2015-01-11,.6,-2.5,2358,3.5,450,0,,0,8.3,1452,2.5,258.8
400,2015-01-12,-1.4,-4.8,706,2.8,1448,0,,0,4.8,12,1.4,247.5
400,2015-01-13,.7,-4.3,518,5.2,1500,0,,0,4,940,1.3,67.5
400,2015-01-14,3.5,.9,343,6.3,1406,0,,0,3.4,1532,1,284.1
400,2015-01-15,4.1,1.5,705,8.3,1551,0,,0,4.7,1441,1.3,315
400,2015-01-16,1.7,-1.4,2253,3.9,1231,0,,0,9.4,2005,2.6,267.2
400,2015-01-17,-2.6,-6.1,801,.3,1500,0,,0,8.6,4,2.4,306.6
400,2015-01-18,-.8,-5.3,733,2.4,1601,1,2100,3.5,8.5,2352,1.5,250.3
400,2015-01-19,1.1,-2,2338,4,1329,0,,0,8.5,114,2.1,295.3
400,2015-01-20,-.3,-5.1,743,3.5,1647,0,,0,4.3,1358,1.5,56.3
400,2015-01-21,3.3,-.3,722,6.4,1645,0,,0,4,1241,1,78.8
