지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
407,2007-01-01,2.4,-2.6,51,6.9,1317,0,2.8,.8,49
407,2007-01-02,2,-1.2,0,5.5,1602,.5,3,.6,40.7
407,2007-01-03,3.1,-1.7,327,9.6,1510,0,3.2,1,33.7
407,2007-01-04,2.6,-2.8,722,10.6,1424,0,3.4,1.1,48.3
407,2007-01-05,2.9,-3.4,520,9,1501,0,6.3,1.4,238.2
407,2007-01-06,-.6,-4,2356,4.2,140,1.5,13.2,3.8,235.2
407,2007-01-07,-3.5,-7.6,849,-.2,1500,0,8.3,2.2,285.5
407,2007-01-08,-3.6,-8.8,743,.7,1519,0,6.3,1.9,295.7
407,2007-01-09,-2.7,-8.4,355,3.8,1447,0,5,1,299.9
407,2007-01-10,-1.8,-6.7,727,3.2,1419,0,7.6,1.5,276.1
407,2007-01-11,-3.5,-8.7,800,2.8,1440,0,5,1,254.1
407,2007-01-12,-3.9,-8.7,758,.3,1409,0,7.5,1.9,262.1
407,2007-01-13,-6.5,-11.5,644,-.5,1442,0,5.2,1.3,273
407,2007-01-14,-5,-12.3,747,3.5,1539,0,4,.8,225.5
407,2007-01-15,-2.2,-8.4,454,5.3,1548,0,3,.8,257.9
407,2007-01-16,.8,-3.5,625,6.5,1508,0,4.1,.7,269.6
407,2007-01-17,.8,-4.2,640,5.4,1336,0,7.3,1.2,271.1
407,2007-01-18,.1,-3.8,0,4.8,1512,0,6.3,1.5,351
407,2007-01-19,-1.7,-8,639,5.5,1542,0,4.5,.9,227.1
407,2007-01-20,-.8,-6.6,725,7,1511,0,3.5,.8,246.6
407,2007-01-21,-.3,-6.9,507,7.3,1528,0,2.7,.8,44.8
407,2007-01-22,2.1,-2.2,2322,7.1,1518,0,5.6,1.3,321.9
407,2007-01-23,.2,-5,653,6.8,1535,0,3.5,.7,289.6
407,2007-01-24,-.2,-5.1,745,6.3,1511,0,7.1,1.3,223.6
407,2007-01-25,-1,-6.5,539,5.7,1448,0,4.2,.9,257.4
407,2007-01-26,.9,-4.1,125,4.7,1305,0,6.3,1.4,223.7
407,2007-01-27,.2,-3.6,819,4,1510,0,6.3,1.5,267
407,2007-01-28,-1,-6.3,720,5.6,1512,0,5.4,1.2,278.3
407,2007-01-29,-.6,-6.9,803,5.4,1446,0,5.6,1.2,252.3
407,2007-01-30,-.1,-4.5,2311,3.3,1247,1,11.4,3,251.6
407,2007-01-31,-3.4,-9,726,.8,1521,0,9.8,2.6,299.6
407,2007-02-01,-4.7,-8.2,647,-.7,1559,0,7.7,2.5,298.9
407,2007-02-02,-5.3,-11.7,651,.2,1543,0,6,1.6,294.1
407,2007-02-03,-.4,-8.6,439,6.8,1514,0,11.1,2,228.2
