지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
413,2023-01-01,.3,-3.6,2327,4.1,1345,0,7.1,2200,1.6,303.8
413,2023-01-02,-3.5,-5.4,744,-.2,1343,0,6.1,1258,2,247.5
413,2023-01-03,-3.9,-8.2,644,.4,1349,0,5.7,1315,1.4,272.8
413,2023-01-04,-1.6,-5.9,308,3.2,1418,0,6.4,1247,1.2,303.8
413,2023-01-05,-1.7,-6.1,807,2.7,1540,0,4.4,1604,.6,258.8
413,2023-01-06,0,-4.9,759,5.7,1427,3.5,4.3,1449,.8,236.3
413,2023-01-07,2,-1.4,2333,4.1,1300,0,5.9,1220,1.4,253.1
413,2023-01-08,.8,-3.8,804,4.4,1346,0,3.6,1538,1,53.4
413,2023-01-09,3.6,-.3,2338,7.4,1333,0,6.6,1521,1.4,253.1
413,2023-01-10,1.7,-3.7,754,7.7,1424,0,4.4,424,.9,135
413,2023-01-11,2.3,-2.3,752,7.8,1417,0,4.2,1521,.6,270
413,2023-01-12,4.7,-1.1,420,11.1,1613,0,3.8,706,.8,81.6
413,2023-01-13,6.9,3.6,144,8.7,1429,36,7.3,634,1,67.5
413,2023-01-14,6.1,3.3,2319,7.9,13,2,7.2,1437,1.6,67.5
413,2023-01-15,.4,-2.6,2354,3.3,1,3,5.7,2225,2,250.3
413,2023-01-16,-3.6,-5.6,2352,-.6,1416,0,5.3,728,2.1,306.6
413,2023-01-17,-2.8,-6,715,0,1359,0,4.2,346,1.1,261.6
413,2023-01-18,-1.1,-3.6,817,3,1343,0,6.1,1643,1.3,329.1
413,2023-01-19,0,-5.4,511,4.9,1430,1,5.8,2138,1.1,188.4
413,2023-01-20,-2.4,-5.6,2351,2.8,240,0,9.3,846,2.7,329.1
413,2023-01-21,-4.2,-9.1,644,.5,1427,0,4.3,346,1.1,278.4
413,2023-01-22,-.7,-2.9,347,2.3,1601,0,5.3,448,1.4,98.4
413,2023-01-23,-.3,-5.6,0,5.1,1332,0,7,2342,1.8,300.9
413,2023-01-24,-13.7,-16,834,-5.6,1,0,10.3,656,3.6,326.3
413,2023-01-25,-11,-16.7,742,-6.9,1357,0,5.6,4,1.5,272.8
413,2023-01-26,-5.8,-8.9,603,-2.8,2112,0,4.8,2307,1.3,329.1
413,2023-01-27,-6.4,-8.3,533,-2.7,1344,0,9.2,1405,2.7,289.7
413,2023-01-28,-5,-10.4,738,-.6,1415,0,8,1454,2.1,295.3
413,2023-01-29,-1.2,-7.9,715,4.8,1411,0,7.5,1729,1.6,278.4
413,2023-01-30,.1,-3.6,706,4.3,1417,0,6.8,1405,1.8,241.9
413,2023-01-31,2.8,-4,608,8.6,1525,0,4.9,1647,1,230.6
413,2023-02-01,1.8,-1.7,2356,6,1,0,8.2,1320,2.3,267.2
413,2023-02-02,-1.3,-4.2,749,1.5,1345,0,5.2,1339,1.6,303.8
413,2023-02-03,-.6,-3.1,407,3.6,1358,0,5.5,1646,1.5,236.3
413,2023-02-04,.4,-4.4,518,5.5,1453,0,6.2,1636,1.4,292.5
413,2023-02-05,1.3,-3.9,615,6.6,1457,0,5.8,1459,.8,286.9
413,2023-02-06,2.8,-2.3,617,8.3,1430,0,3.8,1301,.7,70.3
413,2023-02-07,3.4,-1.5,617,8.5,1507,0,4.6,1841,.8,281.3
413,2023-02-08,2.9,-1.4,646,8.2,1347,0,6.2,1553,1.4,258.8
413,2023-02-09,4,-2.4,559,10.3,1516,0,5.2,2354,1.4,171.6
413,2023-02-10,4.4,2.2,0,7.8,1434,0,5.5,1511,1.7,272.8
413,2023-02-11,3.1,-1.1,657,8.2,1403,0,3.9,1826,.9,278.4
413,2023-02-12,4,-1.3,617,8,1517,0,5.9,2317,1,28.1
413,2023-02-13,6.4,3.9,2359,8.5,1340,0,5.4,47,1.8,45
413,2023-02-14,2.5,-.8,744,7.1,1419,0,6,1557,1.9,286.9
413,2023-02-15,3.2,-.5,418,8.2,1507,0,6,912,1.8,64.7
413,2023-02-16,2.9,.1,0,5.7,1455,0,7,1157,1.5,253.1
413,2023-02-17,3.7,-1.2,657,9.6,1524,0,4.2,1604,.8,199.7
413,2023-02-18,6,3.3,303,8.5,1514,0,3.5,940,.9,70.3
413,2023-02-19,4.3,1.5,2113,7.1,1339,0,8.9,1247,2.5,272.8
413,2023-02-20,.6,-2.1,2340,3.7,1439,0,8.7,1226,2.7,315
413,2023-02-21,-.2,-3.9,732,5.2,1503,0,4.7,148,1.5,22.5
413,2023-02-22,1.7,-4,653,8.2,1336,0,6.1,1543,1.5,272.8
413,2023-02-23,3.7,-1.1,640,9.4,1500,0,6.1,1708,1.5,253.1
413,2023-02-24,4.1,.4,640,9.3,1338,0,9.6,1418,1.9,326.3
413,2023-02-25,2,-.8,626,6.4,1445,0,7.3,1411,2,264.4
413,2023-02-26,3.2,-2.5,705,9,1455,0,4.5,1933,1.3,264.4
413,2023-02-27,4.8,-1.5,731,12.1,1527,0,6.2,1656,1.2,236.3
413,2023-02-28,5,-.6,706,9.3,1525,0,6.9,1409,1.4,289.7
413,2023-03-01,6.6,3.8,2347,9.6,1321,0,9.9,1708,2.3,309.4
413,2023-03-02,2.9,.3,710,7.3,1518,0,7.8,1349,2.5,253.1
