지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
421,2014-01-01,5.3,2.3,658,8.7,1445,0,,0,14,1325,3.3,225
421,2014-01-02,3.4,1.1,747,6.1,1536,0,,0,7,1339,2,191.3
421,2014-01-03,3.2,-.2,553,7.7,1342,0,,0,6.3,1602,1.6,177.2
421,2014-01-04,1.6,-1.2,724,5.3,1518,0,,0,5.9,1647,1.5,272.8
421,2014-01-05,1,-1.8,819,4,1519,0,,0,6.6,1555,1.7,270
421,2014-01-06,2.3,-2.1,658,6,1602,0,,0,4.7,1738,1,334.7
421,2014-01-07,3.7,.8,624,6.1,1656,0,,0,4.6,1508,1,225
421,2014-01-08,1.7,-4.2,2359,4.7,1,0,,0,10.5,1827,2.6,284.1
421,2014-01-09,-5.7,-8.4,816,-2.6,1456,0,,0,10,1603,2.8,345.9
421,2014-01-10,-3,-6.3,425,.1,1442,0,,0,7,1314,1.4,210.9
421,2014-01-11,-.2,-3.5,819,3,1343,0,,0,7.1,1443,1.5,202.5
421,2014-01-12,-1.1,-5.8,2259,2.9,1353,0,,0,10.6,1432,2.5,227.8
421,2014-01-13,-4.1,-7.6,730,-.4,1458,0,,0,6.5,1501,2.2,329.1
421,2014-01-14,-2.5,-5.9,743,1.6,1515,0,,0,7.6,1532,1.8,253.1
421,2014-01-15,-1.3,-4.6,713,2.5,1433,0,,0,7,1311,1.5,165.9
421,2014-01-16,.9,-2,304,3.2,1526,0,,0,3.8,1541,.9,101.3
421,2014-01-17,1,-2.4,725,4.3,1451,0,,0,6.6,1919,1.4,241.9
421,2014-01-18,-.4,-2.7,2341,2.1,1312,0,,0,10.9,1602,3,261.6
421,2014-01-19,-1,-5,809,2.1,1529,0,,0,6,2345,1.5,168.8
421,2014-01-20,-.6,-3,2355,2.2,1319,1.5,1700,6,9.8,1906,2,270
421,2014-01-21,-3.9,-5.5,741,-2,1608,0,,0,8.2,217,2.3,340.3
421,2014-01-22,-2.2,-6.7,643,1.6,1524,0,,0,6.2,1441,1.4,267.2
421,2014-01-23,.2,-4,635,4.2,1625,0,,0,5.6,1628,.8,253.1
421,2014-01-24,3.8,.2,309,6.4,1544,0,,0,4.5,1157,1.1,115.3
421,2014-01-25,4.6,.7,2356,6.3,1411,1,1200,2,10.6,2344,1.7,281.3
421,2014-01-26,-.6,-3.2,742,2.4,1623,0,,0,11.2,27,2.4,281.3
421,2014-01-27,1.4,-3.5,743,6.1,1539,0,,0,7.3,1504,1.6,210.9
421,2014-01-28,2.6,-.3,2351,4.9,1233,0,,0,8.9,1357,2.4,278.4
421,2014-01-29,3.2,-3.2,739,8.4,1652,0,,0,7,1948,1.3,202.5
421,2014-01-30,4.7,.5,2359,6.8,32,2,1200,4.5,8.8,1752,1.9,247.5
421,2014-01-31,2.3,-1.6,758,6.5,1637,0,,0,8.1,130,1.5,278.4
421,2014-02-01,4.8,3.8,1,5.9,2249,3,1700,7,6.6,1257,1.3,14.1
421,2014-02-02,5.4,3.9,2347,7.3,1627,1,200,1.5,6.4,1849,1.4,334.7
421,2014-02-03,-2.2,-6.6,2323,4,1,0,,0,11.2,1850,3.6,278.4
421,2014-02-04,-5.9,-8.8,850,-3,1554,0,,0,11.2,1520,3.3,351.6
421,2014-02-05,-3.3,-6.3,433,.2,1541,0,,0,7.6,1,1.8,36.6
421,2014-02-06,-.2,-3.2,449,3.6,1615,0,,0,6.1,347,1.6,16.9
421,2014-02-07,2.8,-.8,641,7.6,1434,0,,0,9.6,2014,3.3,70.3
421,2014-02-08,1,-.4,2334,2.8,1423,1.5,2200,3.5,8.5,758,2.6,78.8
421,2014-02-09,-.2,-1.7,840,1.7,1445,0,,0,6.5,2148,2,0
421,2014-02-10,.8,-1.6,456,3.7,1545,0,,0,7.7,1115,2.3,78.8
421,2014-02-11,1.1,-2.4,739,4.5,1524,0,,0,6.5,1030,1.7,98.4
421,2014-02-12,2.2,-.7,459,6.1,1431,0,,0,7.2,2225,2.1,22.5
421,2014-02-13,2.9,-.5,651,6,1439,0,,0,6.3,2219,1.8,70.3
421,2014-02-14,3.8,.8,533,7.3,1511,0,,0,7.6,926,2,70.3
421,2014-02-15,3.9,.1,735,8.1,1518,0,,0,7.5,1405,1.8,233.4
421,2014-02-16,4.1,.4,704,8.5,1527,0,,0,6.5,1652,1.2,250.3
421,2014-02-17,5.4,2.4,757,8.9,1623,0,,0,8.2,1912,1.8,357.2
421,2014-02-18,3.5,1.8,649,5.6,1604,0,,0,7.5,1419,2.4,73.1
421,2014-02-19,2.9,-.3,725,6.3,1657,0,,0,6.2,2131,1.8,292.5
421,2014-02-20,2.5,.6,655,5.6,1428,0,,0,7.6,1559,2.2,241.9
421,2014-02-21,2.3,-1.1,541,6.7,1529,0,,0,8.4,1540,2.1,222.2
421,2014-02-22,3.5,-.6,616,7.3,1542,0,,0,7.7,1527,1.7,196.9
421,2014-02-23,4.3,.1,705,8.6,1520,0,,0,6.7,1621,1.5,253.1
421,2014-02-24,5.3,1.4,519,10,1518,0,,0,7.3,1317,1.7,244.7
421,2014-02-25,7,1.9,702,12,1535,0,,0,6.4,1625,1.4,222.2
421,2014-02-26,9.1,2.5,734,15.5,1530,0,,0,4.7,1539,1.2,146.3
421,2014-02-27,8.6,4.6,640,13.7,1306,0,,0,8,1702,1.8,261.6
421,2014-02-28,7.8,3.7,706,12.3,1651,0,,0,5.8,158,1.7,0
421,2014-03-01,7.2,5.2,610,10.4,1338,0,,0,7.5,2017,2.2,267.2
421,2014-03-02,6.1,2.8,727,10.9,1435,0,,0,9.8,1417,2.5,292.5
421,2014-03-03,6.5,1.9,717,11.3,1559,0,,0,7.7,1624,1.8,247.5
421,2014-03-04,6.7,3.1,714,12.1,1509,0,,0,8.6,1454,2.2,270
421,2014-03-05,2.5,.3,713,6.3,1257,0,,0,12.8,1622,3.2,286.9
421,2014-03-06,1.7,-1.3,2354,5.1,1542,0,,0,11.5,1234,3.2,255.9
421,2014-03-07,.7,-2.6,706,4.6,1519,0,,0,10.3,1433,3.2,267.2
421,2014-03-08,3.3,.3,720,7.1,1605,0,,0,8.6,1308,2.2,194.1
421,2014-03-09,2.5,.7,2336,5.9,1322,.5,400,1.5,13.6,1628,2.9,295.3
421,2014-03-10,2.7,-.7,526,7.5,1452,0,,0,9.9,1813,2.8,213.8
421,2014-03-11,5.6,.8,536,10.2,1531,0,,0,8.6,1357,2.2,210.9
421,2014-03-12,7.1,4,610,9.6,1303,.5,1600,.5,7.9,2357,1.4,11.3
421,2014-03-13,5.7,3.1,2347,7.9,1429,0,,0,14,613,3.5,78.8
421,2014-03-14,4.3,1.3,544,8.5,1325,0,,0,10.3,1552,2.7,219.4
421,2014-03-15,7.8,2,537,13.8,1526,0,,0,15.8,1657,3.2,210.9
421,2014-03-16,11.8,7.5,321,17.8,1540,0,,0,7.4,1728,1.8,185.6
421,2014-03-17,13.5,7.9,539,19.1,1440,0,,0,15.9,2336,2.5,202.5
421,2014-03-18,11.2,8.2,806,15.3,1630,0,,0,14.3,120,2.9,250.3
421,2014-03-19,10.2,9,606,12.1,1651,0,,0,8,1253,2.1,151.9
421,2014-03-20,7.4,3.7,1824,10.9,1204,1.5,1900,2,18.1,1807,2.9,11.3
421,2014-03-21,7.1,2.9,650,11.8,1548,0,,0,10.8,947,2.8,351.6
421,2014-03-22,9.5,4,549,15.5,1605,0,,0,8.1,1321,2.3,225
421,2014-03-23,10.5,6.7,609,15.7,1340,0,,0,10.1,1453,2.3,236.3
421,2014-03-24,11.7,6.3,640,15.2,1610,0,,0,11,1322,2.7,258.8
421,2014-03-25,14.8,12.3,528,18.1,1530,0,,0,7.4,109,1.8,213.8
421,2014-03-26,15.7,12.4,2346,21.1,1438,0,,0,9.8,1429,2.3,247.5
421,2014-03-27,13.7,9.2,638,19.7,1421,0,,0,7.8,1612,2.2,261.6
421,2014-03-28,16.7,11.8,528,23.2,1632,0,,0,8.5,1833,2,253.1
421,2014-03-29,15.1,12.5,2355,17.6,1204,1.5,2400,2,8.5,2340,1.6,39.4
421,2014-03-30,14.6,10.9,626,19.6,1629,0,,0,7.9,1617,2.9,22.5
421,2014-03-31,15,9.9,615,20.6,1627,0,,0,7.9,1756,2,281.3
421,2014-04-01,16,9.9,503,22.5,1607,0,,0,9.6,1724,1.8,250.3
