지점,지역명,강수 시작일,강수 종료일,강수 기간,기간 누적 강수량
400,강남,1997-01-01,1997-01-01,1,8.0
400,강남,1997-01-13,1997-01-13,1,0.5
400,강남,1997-02-15,1997-02-15,1,0.5
400,강남,1997-02-25,1997-02-25,1,14.5
400,강남,1997-02-28,1997-02-28,1,21.5
400,강남,1997-03-06,1997-03-06,1,13.0
400,강남,1997-03-14,1997-03-15,2,3.5
400,강남,1997-04-01,1997-04-02,2,22.0
400,강남,1997-04-05,1997-04-06,2,19.0
400,강남,1997-04-16,1997-04-16,1,0.5
400,강남,1997-05-12,1997-05-13,2,67.0
400,강남,1997-05-21,1997-05-21,1,1.5
400,강남,1997-05-23,1997-05-24,2,16.5
400,강남,1997-05-28,1997-05-30,3,44.5
400,강남,1997-06-01,1997-06-01,1,12.0
400,강남,1997-06-04,1997-06-05,2,5.0
400,강남,1997-06-20,1997-06-20,1,2.5
400,강남,1997-06-25,1997-06-27,3,79.5
400,강남,1997-06-30,1997-07-01,2,123.5
400,강남,1997-07-03,1997-07-06,4,39.0
400,강남,1997-07-12,1997-07-12,1,2.5
400,강남,1997-07-15,1997-07-16,2,104.5
400,강남,1997-07-30,1997-07-30,1,2.0
400,강남,1997-08-02,1997-08-04,3,122.0
400,강남,1997-08-08,1997-08-08,1,1.0
400,강남,1997-08-19,1997-08-21,3,11.0
400,강남,1997-08-30,1997-08-31,2,2.5
400,강남,1997-09-02,1997-09-02,1,40.5
400,강남,1997-09-10,1997-09-10,1,7.5
400,강남,1997-09-13,1997-09-13,1,4.0
400,강남,1997-09-16,1997-09-16,1,0.5
400,강남,1997-09-25,1997-09-26,2,31.0
400,강남,1997-10-07,1997-10-07,1,3.5
400,강남,1997-10-16,1997-10-17,2,9.0
400,강남,1997-10-29,1997-10-29,1,6.5
400,강남,1997-11-12,1997-11-12,1,23.0
400,강남,1997-11-14,1997-11-14,1,4.5
400,강남,1997-11-21,1997-11-21,1,7.5
400,강남,1997-11-25,1997-11-26,2,27.5
400,강남,1997-11-28,1997-11-29,2,21.0
400,강남,1997-12-06,1997-12-08,3,32.5
400,강남,1997-12-11,1997-12-11,1,2.0
400,강남,1997-12-14,1997-12-14,1,3.0
400,강남,1998-01-01,1998-01-01,1,2.5
400,강남,1998-01-04,1998-01-04,1,0.5
400,강남,1998-01-08,1998-01-08,1,2.0
400,강남,1998-02-07,1998-02-07,1,1.0
400,강남,1998-02-09,1998-02-09,1,5.0
400,강남,1998-02-11,1998-02-13,3,12.5
400,강남,1998-02-19,1998-02-21,3,4.5
400,강남,1998-02-27,1998-02-27,1,3.5
400,강남,1998-03-11,1998-03-12,2,3.0
400,강남,1998-03-19,1998-03-19,1,32.5
400,강남,1998-04-01,1998-04-02,2,22.0
400,강남,1998-04-05,1998-04-05,1,21.0
400,강남,1998-04-08,1998-04-08,1,0.5
400,강남,1998-04-12,1998-04-13,2,20.5
400,강남,1998-04-22,1998-04-24,3,20.0
400,강남,1998-04-26,1998-04-26,1,1.5
400,강남,1998-05-02,1998-05-02,1,47.0
400,강남,1998-05-08,1998-05-08,1,0.5
400,강남,1998-05-11,1998-05-12,2,18.0
400,강남,1998-05-16,1998-05-16,1,17.5
400,강남,1998-06-02,1998-06-05,4,29.5
400,강남,1998-06-13,1998-06-13,1,8.5
400,강남,1998-06-19,1998-06-19,1,7.0
400,강남,1998-06-25,1998-06-26,2,105.5
400,강남,1998-06-30,1998-07-03,4,137.0
400,강남,1998-07-08,1998-07-11,4,114.0
400,강남,1998-07-14,1998-07-15,2,13.5
400,강남,1998-07-18,1998-07-19,2,6.5
400,강남,1998-07-21,1998-07-21,1,1.0
400,강남,1998-07-26,1998-07-26,1,8.0
400,강남,1998-07-31,1998-08-08,9,819.0
400,강남,1998-08-10,1998-08-12,3,95.5
400,강남,1998-08-15,1998-08-15,1,47.5
400,강남,1998-08-20,1998-08-20,1,13.0
400,강남,1998-08-23,1998-08-24,2,23.5
400,강남,1998-08-27,1998-08-27,1,4.5
400,강남,1998-08-29,1998-08-29,1,1.5
400,강남,1998-09-01,1998-09-01,1,5.5
400,강남,1998-09-05,1998-09-05,1,23.0
400,강남,1998-09-15,1998-09-15,1,0.5
400,강남,1998-09-20,1998-09-21,2,37.5
400,강남,1998-09-24,1998-09-24,1,1.0
400,강남,1998-09-29,1998-10-01,3,62.0
400,강남,1998-10-12,1998-10-14,3,22.0
400,강남,1998-10-30,1998-10-31,2,4.5
400,강남,1998-11-02,1998-11-02,1,11.5
400,강남,1998-11-08,1998-11-08,1,2.0
400,강남,1998-11-16,1998-11-16,1,5.5
400,강남,1998-11-19,1998-11-19,1,1.0
400,강남,1998-11-21,1998-11-23,3,3.0
400,강남,1998-11-27,1998-11-27,1,4.0
400,강남,1998-12-07,1998-12-07,1,1.0
400,강남,1998-12-11,1998-12-11,1,1.5
400,강남,1999-01-06,1999-01-06,1,1.0
400,강남,1999-01-25,1999-01-25,1,2.0
400,강남,1999-01-29,1999-01-29,1,3.0
400,강남,1999-02-11,1999-02-11,1,0.5
400,강남,1999-02-24,1999-02-24,1,0.5
400,강남,1999-03-05,1999-03-05,1,1.5
400,강남,1999-03-15,1999-03-15,1,1.5
400,강남,1999-03-18,1999-03-18,1,41.0
400,강남,1999-03-21,1999-03-21,1,2.0
400,강남,1999-03-26,1999-03-26,1,4.0
400,강남,1999-04-01,1999-04-01,1,15.0
400,강남,1999-04-05,1999-04-06,2,14.5
400,강남,1999-04-09,1999-04-10,2,30.0
400,강남,1999-04-12,1999-04-13,2,26.0
400,강남,1999-05-03,1999-05-03,1,49.5
400,강남,1999-05-18,1999-05-19,2,35.0
400,강남,1999-05-23,1999-05-24,2,25.5
400,강남,1999-05-27,1999-05-27,1,2.5
400,강남,1999-06-01,1999-06-02,2,43.0
400,강남,1999-06-06,1999-06-06,1,0.5
400,강남,1999-06-16,1999-06-16,1,13.0
400,강남,1999-06-21,1999-06-23,3,28.0
400,강남,1999-07-04,1999-07-04,1,0.5
400,강남,1999-07-09,1999-07-10,2,40.0
400,강남,1999-07-15,1999-07-15,1,4.5
400,강남,1999-07-18,1999-07-18,1,3.0
400,강남,1999-07-21,1999-07-25,5,30.0
400,강남,1999-07-28,1999-08-05,9,508.0
400,강남,1999-08-21,1999-08-21,1,0.5
400,강남,1999-09-05,1999-09-05,1,2.0
400,강남,1999-09-07,1999-09-07,1,11.0
400,강남,1999-09-09,1999-09-10,2,7.0
400,강남,1999-09-18,1999-09-24,7,285.0
400,강남,1999-10-01,1999-10-02,2,28.5
400,강남,1999-10-07,1999-10-07,1,7.5
400,강남,1999-10-10,1999-10-11,2,20.0
400,강남,1999-10-17,1999-10-17,1,0.5
400,강남,1999-10-28,1999-10-28,1,64.5
400,강남,1999-10-31,1999-11-01,2,21.5
400,강남,1999-11-11,1999-11-12,2,10.5
400,강남,1999-11-20,1999-11-20,1,0.5
400,강남,1999-11-23,1999-11-25,3,5.5
400,강남,1999-11-30,1999-11-30,1,0.5
400,강남,1999-12-12,1999-12-12,1,2.5
400,강남,1999-12-14,1999-12-16,3,7.5
400,강남,1999-12-24,1999-12-24,1,4.5
400,강남,1999-12-28,1999-12-28,1,1.0
400,강남,1999-12-31,1999-12-31,1,8.0
400,강남,2000-01-02,2000-01-02,1,7.5
400,강남,2000-01-05,2000-01-06,2,28.5
400,강남,2000-01-12,2000-01-13,2,5.0
400,강남,2000-01-19,2000-01-19,1,0.5
400,강남,2000-01-22,2000-01-23,2,2.0
400,강남,2000-03-16,2000-03-17,2,8.0
400,강남,2000-03-19,2000-03-19,1,0.5
400,강남,2000-03-23,2000-03-23,1,1.0
400,강남,2000-03-29,2000-03-29,1,0.5
400,강남,2000-04-10,2000-04-10,1,3.5
400,강남,2000-04-19,2000-04-19,1,2.5
400,강남,2000-04-21,2000-04-22,2,13.0
400,강남,2000-04-26,2000-04-27,2,5.5
400,강남,2000-05-06,2000-05-06,1,2.0
400,강남,2000-05-10,2000-05-11,2,15.5
400,강남,2000-05-16,2000-05-16,1,0.5
400,강남,2000-05-19,2000-05-19,1,22.0
400,강남,2000-05-26,2000-05-27,2,17.0
400,강남,2000-06-08,2000-06-08,1,2.0
400,강남,2000-06-22,2000-06-22,1,8.0
400,강남,2000-06-26,2000-06-27,2,30.5
400,강남,2000-06-29,2000-06-30,2,25.0
400,강남,2000-07-04,2000-07-04,1,4.0
400,강남,2000-07-11,2000-07-12,2,22.0
400,강남,2000-07-19,2000-07-22,4,72.5
400,강남,2000-07-29,2000-07-30,2,15.0
400,강남,2000-08-04,2000-08-07,4,80.0
400,강남,2000-08-09,2000-08-09,1,1.0
400,강남,2000-08-17,2000-08-17,1,15.5
400,강남,2000-08-19,2000-08-21,3,113.0
400,강남,2000-08-23,2000-08-28,6,274.5
400,강남,2000-08-31,2000-09-01,2,44.5
400,강남,2000-09-03,2000-09-03,1,4.5
400,강남,2000-09-06,2000-09-06,1,5.0
400,강남,2000-09-13,2000-09-16,4,165.5
400,강남,2000-09-22,2000-09-22,1,0.5
400,강남,2000-10-02,2000-10-02,1,0.5
400,강남,2000-10-11,2000-10-11,1,0.5
400,강남,2000-10-23,2000-10-25,3,14.0
400,강남,2000-11-10,2000-11-10,1,2.0
400,강남,2000-11-16,2000-11-16,1,8.0
400,강남,2000-11-19,2000-11-20,2,14.5
400,강남,2000-11-26,2000-11-26,1,2.0
400,강남,2000-12-05,2000-12-05,1,0.5
400,강남,2000-12-10,2000-12-10,1,1.5
400,강남,2000-12-15,2000-12-15,1,4.0
400,강남,2000-12-18,2000-12-19,2,7.0
400,강남,2000-12-23,2000-12-23,1,21.0
400,강남,2001-01-08,2001-01-10,3,8.0
400,강남,2001-01-18,2001-01-18,1,1.0
400,강남,2001-01-20,2001-01-20,1,1.0
400,강남,2001-01-27,2001-01-27,1,2.0
400,강남,2001-01-31,2001-01-31,1,4.5
400,강남,2001-02-18,2001-02-18,1,9.0
400,강남,2001-02-23,2001-02-28,6,19.5
400,강남,2001-03-03,2001-03-03,1,9.0
