지점,지점명,일시,일강수량(mm)
116,관악(레),2025-01-01,0.0
116,관악(레),2025-01-02,0.0
116,관악(레),2025-01-03,0.0
116,관악(레),2025-01-04,0.0
116,관악(레),2025-01-05,0.0
116,관악(레),2025-01-06,1.5
116,관악(레),2025-01-07,0.0
116,관악(레),2025-01-08,0.0
116,관악(레),2025-01-09,0.0
116,관악(레),2025-01-10,0.0
116,관악(레),2025-01-11,0.0
116,관악(레),2025-01-12,0.0
116,관악(레),2025-01-13,0.0
116,관악(레),2025-01-14,1.0
116,관악(레),2025-01-15,0.0
116,관악(레),2025-01-16,0.0
116,관악(레),2025-01-17,0.0
116,관악(레),2025-01-18,0.0
116,관악(레),2025-01-19,0.0
116,관악(레),2025-01-20,0.0
116,관악(레),2025-01-21,0.0
116,관악(레),2025-01-22,0.0
116,관악(레),2025-01-23,0.0
116,관악(레),2025-01-24,0.0
116,관악(레),2025-01-25,0.0
116,관악(레),2025-01-26,0.0
116,관악(레),2025-01-27,2.5
116,관악(레),2025-01-28,0.0
116,관악(레),2025-01-29,0.0
116,관악(레),2025-01-30,0.0
116,관악(레),2025-01-31,0.0
116,관악(레),2025-02-01,0.0
116,관악(레),2025-02-02,0.0
116,관악(레),2025-02-03,0.0
116,관악(레),2025-02-04,0.0
116,관악(레),2025-02-05,0.0
116,관악(레),2025-02-06,0.0
116,관악(레),2025-02-07,0.0
116,관악(레),2025-02-08,0.0
116,관악(레),2025-02-09,0.0
116,관악(레),2025-02-10,0.0
116,관악(레),2025-02-11,0.0
116,관악(레),2025-02-12,0.0
116,관악(레),2025-02-13,0.0
116,관악(레),2025-02-14,0.0
116,관악(레),2025-02-15,0.0
116,관악(레),2025-02-16,0.0
116,관악(레),2025-02-17,0.0
116,관악(레),2025-02-18,0.0
116,관악(레),2025-02-19,0.0
116,관악(레),2025-02-20,0.0
116,관악(레),2025-02-21,0.0
116,관악(레),2025-02-22,0.0
116,관악(레),2025-02-23,0.0
116,관악(레),2025-02-24,0.0
116,관악(레),2025-02-25,0.0
116,관악(레),2025-02-26,0.0
116,관악(레),2025-02-27,0.0
116,관악(레),2025-02-28,0.0
116,관악(레),2025-03-01,0.0
116,관악(레),2025-03-02,6.5
116,관악(레),2025-03-03,0.5
116,관악(레),2025-03-04,1.5
116,관악(레),2025-03-05,0.0
116,관악(레),2025-03-06,0.0
116,관악(레),2025-03-07,0.0
116,관악(레),2025-03-08,0.0
116,관악(레),2025-03-09,0.0
116,관악(레),2025-03-10,0.0
116,관악(레),2025-03-11,0.0
116,관악(레),2025-03-12,0.0
116,관악(레),2025-03-13,0.0
116,관악(레),2025-03-14,0.0
116,관악(레),2025-03-15,0.0
116,관악(레),2025-03-16,0.5
116,관악(레),2025-03-17,0.0
116,관악(레),2025-03-18,6.5
116,관악(레),2025-03-19,0.0
116,관악(레),2025-03-20,0.0
116,관악(레),2025-03-21,0.0
116,관악(레),2025-03-22,0.0
116,관악(레),2025-03-23,0.0
116,관악(레),2025-03-24,0.0
116,관악(레),2025-03-25,0.0
116,관악(레),2025-03-26,0.0
116,관악(레),2025-03-27,1.0
116,관악(레),2025-03-28,0.0
116,관악(레),2025-03-29,0.0
116,관악(레),2025-03-30,0.0
116,관악(레),2025-03-31,0.0
116,관악(레),2025-04-01,0.0
116,관악(레),2025-04-02,0.0
116,관악(레),2025-04-03,0.0
116,관악(레),2025-04-04,0.0
116,관악(레),2025-04-05,17.5
116,관악(레),2025-04-06,0.5
116,관악(레),2025-04-07,0.0
116,관악(레),2025-04-08,0.0
116,관악(레),2025-04-09,0.5
116,관악(레),2025-04-10,0.0
116,관악(레),2025-04-11,0.0
116,관악(레),2025-04-12,15.0
116,관악(레),2025-04-13,2.0
116,관악(레),2025-04-14,4.5
116,관악(레),2025-04-15,0.0
116,관악(레),2025-04-16,0.0
116,관악(레),2025-04-17,0.0
116,관악(레),2025-04-18,0.0
116,관악(레),2025-04-19,10.0
116,관악(레),2025-04-20,0.0
116,관악(레),2025-04-21,0.0
116,관악(레),2025-04-22,33.5
116,관악(레),2025-04-23,0.0
116,관악(레),2025-04-24,0.0
116,관악(레),2025-04-25,0.0
116,관악(레),2025-04-26,0.0
116,관악(레),2025-04-27,0.0
116,관악(레),2025-04-28,0.0
116,관악(레),2025-04-29,0.0
116,관악(레),2025-04-30,0.0
116,관악(레),2025-05-01,22.5
116,관악(레),2025-05-02,0.0
116,관악(레),2025-05-03,9.0
116,관악(레),2025-05-04,0.0
116,관악(레),2025-05-05,0.0
116,관악(레),2025-05-06,0.0
116,관악(레),2025-05-07,0.0
116,관악(레),2025-05-08,0.0
116,관악(레),2025-05-09,18.5
