SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,12936632.070414549,26521145.327485327,39457777.39789987,67.21398689044483
강동구,10170855.964024331,14367011.677898316,24537867.641922645,58.55036748732173
강북구,13949367.63371674,9671220.736434607,23620588.37015135,40.94402977978249
강서구,18823075.512932554,22604151.970090643,41427227.4830232,54.56351617871069
관악구,14641117.660344124,14922102.511841234,29563220.172185358,50.47522707245788
광진구,5558321.47736071,11477609.712051153,17035931.189411864,67.37295181835844
구로구,5481527.889986943,14601832.882999515,20083360.772986457,72.70612248643172
금천구,3368613.327339492,9642136.7064881,13010750.033827592,74.10899972268172
노원구,17889047.287937984,17674944.057906054,35563991.34584404,49.69898874967397
도봉구,10946434.35290828,9742949.471670378,20689383.824578658,47.09154005880015
동대문구,1619887.8728619735,12646482.551109534,14266370.423971508,88.64540997659708
동작구,3147138.6138161793,13216478.623711053,16363617.237527233,80.76746376957082
마포구,8500499.674969688,15344318.538566083,23844818.21353577,64.35074656956586
서대문구,5223012.21194951,12451694.200425431,17674706.41237494,70.44922789612721
서초구,23876313.874720618,23009016.35562306,46885330.23034368,49.07508647711704
성동구,4242030.240426792,12562463.062259445,16804493.302686237,74.75657156679225
성북구,8733425.629148696,15826796.327137338,24560221.956286035,64.44077075242623
송파구,10407448.731932541,23419373.871205773,33826822.60313831,69.23314715652018
양천구,2662183.941187965,14788111.089631978,17450295.030819945,84.74418950231997
영등포구,6393054.529126922,18112663.214238986,24505717.743365906,73.91198823034831
용산구,5785132.817742949,16091190.538027653,21876323.355770603,73.55527835431757
은평구,15062420.068907715,14711470.371247275,29773890.440154992,49.41064185352961
종로구,11033247.522444842,12939593.27736026,23972840.799805105,53.976053090318175
중구,1382578.4274964682,8599890.314096032,9982468.7415925,86.14993481786844
중랑구,6932913.105901649,11590264.231114378,18523177.337016027,62.571685301272936
