YEAR,SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
2000,강남구,12936632.07,26521145.33,39457777.4,67.214
2001,강남구,13035849.73,26421927.72,39457777.46,66.9625
2002,강남구,13135067.4,26322710.12,39457777.52,66.7111
2003,강남구,13234285.06,26223492.52,39457777.58,66.4596
2004,강남구,13333502.72,26124274.91,39457777.64,66.2082
2005,강남구,13432720.39,26025057.31,39457777.7,65.9567
2006,강남구,13531938.05,25925839.7,39457777.75,65.7053
2007,강남구,13631155.72,25826622.1,39457777.81,65.4538
2008,강남구,13531315.92,25926461.87,39457777.8,65.7068
2009,강남구,13431476.13,26026301.65,39457777.78,65.9599
2010,강남구,13590663.52,25867114.29,39457777.81,65.5564
2011,강남구,13749850.92,25707926.92,39457777.84,65.153
2012,강남구,13909038.31,25548739.56,39457777.87,64.7496
2013,강남구,14068225.71,25389552.2,39457777.91,64.3461
2014,강남구,17575728.53,21882049.25,39457777.77,55.4569
2015,강남구,17119481.09,22338296.69,39457777.77,56.6132
2016,강남구,16663233.64,22794544.13,39457777.77,57.7695
2017,강남구,16206986.2,23250791.57,39457777.77,58.9258
2018,강남구,15750738.76,23707039.01,39457777.77,60.082
2019,강남구,17323967.53,22133810.23,39457777.76,56.0949
2020,강남구,17031270.18,22426508.34,39457778.52,56.8367
2021,강남구,17493251.87,21964525.89,39457777.76,55.6659
2022,강남구,17368709.32,22089068.25,39457777.57,55.9815
2023,강남구,17122168.56,22335609.22,39457777.77,56.6064
2024,강남구,17010658.11,22447119.67,39457777.77,56.889
2000,강동구,10170855.96,14367011.68,24537867.64,58.5504
2001,강동구,10181719.2,14356148.45,24537867.65,58.5061
2002,강동구,10192582.43,14345285.22,24537867.65,58.4618
2003,강동구,10203445.67,14334421.99,24537867.65,58.4176
2004,강동구,10214308.9,14323558.75,24537867.65,58.3733
2005,강동구,10225172.13,14312695.52,24537867.66,58.329
2006,강동구,10236035.37,14301832.29,24537867.66,58.2847
2007,강동구,10246898.6,14290969.06,24537867.66,58.2405
2008,강동구,9717249.95,14820617.68,24537867.63,60.399
2009,강동구,9187601.31,15350266.3,24537867.61,62.5575
2010,강동구,9179532.06,15358335.62,24537867.68,62.5903
2011,강동구,9171462.8,15366404.94,24537867.75,62.6232
2012,강동구,9163393.55,15374474.26,24537867.82,62.6561
2013,강동구,9155324.3,15382543.58,24537867.88,62.689
2014,강동구,11374941.86,13162925.82,24537867.68,53.6433
2015,강동구,11129927.38,13407940.3,24537867.67,54.6418
2016,강동구,10884912.89,13652954.77,24537867.66,55.6403
2017,강동구,10639898.41,13897969.25,24537867.65,56.6389
2018,강동구,10394883.92,14142983.72,24537867.64,57.6374
2019,강동구,12032622.06,12505245.58,24537867.64,50.963
2020,강동구,11996058.55,12541809.11,24537867.66,51.1121
2021,강동구,11755606.97,12782260.67,24537867.64,52.092
2022,강동구,11611824.37,12926043.27,24537867.64,52.6779
2023,강동구,11006112.39,13531755.25,24537867.64,55.1464
2024,강동구,11273380.32,13264487.32,24537867.64,54.0572
2000,강북구,13949367.63,9671220.74,23620588.37,40.944
2001,강북구,13963506.38,9657082.01,23620588.38,40.8842
2002,강북구,13977645.12,9642943.28,23620588.39,40.8243
2003,강북구,13991783.86,9628804.54,23620588.4,40.7645
2004,강북구,14005922.6,9614665.81,23620588.42,40.7046
2005,강북구,14020061.34,9600527.08,23620588.43,40.6447
2006,강북구,14034200.09,9586388.35,23620588.44,40.5849
2007,강북구,14048338.83,9572249.62,23620588.45,40.525
2008,강북구,14221434.78,9399153.7,23620588.48,39.7922
2009,강북구,14394530.73,9226057.78,23620588.51,39.0594
2010,강북구,14273398.2,9347190.29,23620588.49,39.5722
2011,강북구,14152265.67,9468322.8,23620588.47,40.085
2012,강북구,14031133.14,9589455.31,23620588.45,40.5979
2013,강북구,13910000.61,9710587.82,23620588.43,41.1107
2014,강북구,14822400.12,8798188.25,23620588.37,37.248
2015,강북구,14714763.68,8905824.69,23620588.37,37.7037
2016,강북구,14607127.24,9013461.13,23620588.37,38.1593
2017,강북구,14499490.8,9121097.57,23620588.37,38.615
2018,강북구,14391854.36,9228734.01,23620588.37,39.0707
2019,강북구,14761351.82,8859236.55,23620588.37,37.5064
