SIGUNGU_NM,CODE,AREA_M2
강남구,110,14569107.107632944
강남구,120,121479.02693271798
강남구,130,3830454.1855357876
강남구,150,2593475.702254559
강남구,160,4455224.011362408
강남구,210,76483.12606537677
강남구,220,2174447.93699581
강남구,230,951405.2937669116
강남구,310,3434589.910874408
강남구,320,2431961.2173395613
강남구,330,635164.2230059078
강남구,410,44223.587656046046
강남구,420,18006.331238075392
강남구,430,161343.70258023433
강남구,510,596486.1863095805
강남구,620,1090147.0890035355
강남구,710,2273778.7593460125
강동구,110,10697462.232590012
강동구,120,17054.929394075894
강동구,130,149310.4903285273
강동구,150,1613072.6042635962
강동구,160,1890111.4213221045
강동구,210,639335.823042298
강동구,220,3164417.1220637634
강동구,310,915604.0862461982
강동구,320,572032.0658691355
강동구,330,1495578.9341505566
강동구,410,111268.56043520318
강동구,430,505445.50677669444
강동구,620,717987.5416154109
강동구,710,2049186.323825072
강북구,110,8216971.848927779
강북구,130,280476.92634934373
강북구,150,545774.8130749202
강북구,160,627997.1480825646
강북구,220,20752.17230744396
강북구,310,7883905.3730609445
강북구,320,2037268.2143448675
강북구,330,3688861.414889927
강북구,410,669.9372346157868
강북구,430,81820.40165693991
강북구,620,172742.44214861147
강북구,710,63347.67807338981
강서구,110,10481153.747925902
강서구,120,1425907.7389894668
강서구,130,2017253.4594676795
강서구,140,9259.43833702526
강서구,150,5155839.723143547
강서구,160,3514737.862227023
강서구,210,8440541.84908928
강서구,250,70995.99528763031
강서구,320,774740.8650252147
강서구,330,1908827.6541298395
강서구,430,3973417.854349167
강서구,510,172632.5103705543
강서구,620,279736.9836249655
강서구,710,3202181.801055902
관악구,110,11310243.072154388
관악구,130,686681.6966383843
관악구,150,591043.6197627116
관악구,160,2334134.1232857504
관악구,220,78522.90679025967
관악구,310,4638341.971099847
관악구,320,3472320.13476908
관악구,330,5424678.427842302
관악구,430,204437.21543397947
관악구,620,822817.0044086564
광진구,110,7882343.10812425
광진구,120,25485.414317667444
광진구,130,463514.0225858547
광진구,150,991319.4027131242
광진구,160,2114947.7643102566
광진구,310,1075101.251123953
광진구,320,394652.66041430144
광진구,330,1793269.5278071351
광진구,410,12765.699639766959
광진구,510,7056.914290940489
광진구,620,496558.49254502467
광진구,710,1778916.931539588
구로구,110,8957068.755739944
구로구,120,1937121.804945983
구로구,130,847993.6276695194
구로구,140,63354.1243603518
구로구,150,1270750.1229098628
구로구,160,1525544.4473738538
구로구,210,675089.0231483176
구로구,220,423966.44600318157
구로구,310,2415091.9527536635
구로구,320,617751.0926408882
구로구,330,264329.6628855136
구로구,430,164895.47616022936
구로구,510,35810.38934288345
구로구,620,545950.388037826
구로구,710,338643.45901444054
금천구,110,6264014.246046426
금천구,120,1869774.4735458344
금천구,130,184949.88455305228
금천구,150,679786.7852018098
금천구,160,643611.3171409792
금천구,210,29710.44032821914
금천구,310,2230855.117015641
금천구,320,108856.66406806285
금천구,330,178590.04210809158
금천구,430,53156.26213664783
금천구,620,481056.42152655096
금천구,710,286388.3801562783
노원구,110,11120149.091785815
노원구,120,136386.00330718854
노원구,130,872370.7195642322
노원구,150,1260403.0366362364
노원구,160,4285635.206612582
노원구,220,178831.98691477109
노원구,240,136928.74982325762
노원구,250,40872.216748437415
노원구,310,5332339.901364076
노원구,320,1214051.3718399208
