SIGUNGU_NM,LV2_CODE,LV2_NAME,AREA_M2
강남구,110,주거지역,11466100.838820618
강남구,120,공업지역,144856.61205506077
강남구,130,상업지역,5660765.9426313145
강남구,140,위락시설지역,32570.812612018868
강남구,150,교통시설지역,4015880.3033857294
강남구,160,공공시설지역,3555042.4665800654
강남구,210,논,172459.25695377903
강남구,220,밭,2363106.806794707
강남구,230,하우스재배지,951405.1224674745
강남구,310,활엽수림,3516331.91872755
강남구,320,침엽수림,2245293.7593156435
강남구,330,혼효림,644986.4428454002
강남구,410,자연초지,25781.60488329994
강남구,420,골프장,3006.171719463753
강남구,430,기타초지,787591.9940462552
강남구,510,내륙습지,560176.8482331132
강남구,620,기타나지,989524.2875728374
강남구,710,내륙수,2322896.624505306
강동구,110,주거지역,10064125.105282698
강동구,120,공업지역,172683.61777040243
강동구,130,상업지역,778935.6815315378
강동구,140,위락시설지역,20709.46141223324
강동구,150,교통시설지역,1585748.1587620124
강동구,160,공공시설지역,1031768.1951601576
강동구,210,논,68474.18630442838
강동구,220,밭,2965788.3718497
강동구,230,하우스재배지,636998.8425286815
강동구,250,기타재배지,16611.57119794559
강동구,310,활엽수림,908956.0676945378
강동구,320,침엽수림,569804.1859449833
강동구,330,혼효림,1494218.1109149018
강동구,410,자연초지,123192.0207220144
강동구,430,기타초지,1228818.768487167
강동구,510,내륙습지,259618.76765095635
강동구,620,기타나지,633910.163354746
강동구,710,내륙수,1977506.3871523049
강북구,110,주거지역,5438536.852297849
강북구,120,공업지역,113927.36323917522
강북구,130,상업지역,2194175.2954154494
강북구,140,위락시설지역,70876.13327302114
강북구,150,교통시설지역,1112506.7395515498
강북구,160,공공시설지역,642227.2383284884
강북구,220,밭,117487.12438131291
강북구,240,과수원,2196.5004042511982
강북구,310,활엽수림,8806239.270062372
강북구,320,침엽수림,1742581.077441371
강북구,330,혼효림,2946502.1303557786
강북구,410,자연초지,5324.78940154082
강북구,430,기타초지,170737.36929012917
강북구,510,내륙습지,3254.5837642929487
강북구,620,기타나지,201708.15028820836
강북구,710,내륙수,52307.83366386525
강서구,110,주거지역,7223700.231135443
강서구,120,공업지역,476441.90472399973
강서구,130,상업지역,3925489.851375636
강서구,140,위락시설지역,34170.74244313978
강서구,150,교통시설지역,6569888.031527978
강서구,160,공공시설지역,3842397.554682438
강서구,210,논,6929368.239982263
강서구,220,밭,778541.0117714901
강서구,250,기타재배지,71064.37898175757
강서구,320,침엽수림,669525.3477549534
강서구,330,혼효림,1859510.3976933905
강서구,420,골프장,45505.29131335326
강서구,430,기타초지,3607674.1244504815
강서구,510,내륙습지,190496.77064538072
강서구,620,기타나지,1908000.5688225222
강서구,710,내륙수,3295482.371602404
관악구,110,주거지역,8712462.542034365
관악구,130,상업지역,873635.7588983685
관악구,140,위락시설지역,3917.456335687698
관악구,150,교통시설지역,2800611.951427471
관악구,160,공공시설지역,1802133.333099706
관악구,220,밭,86310.7985252656
관악구,310,활엽수림,4733145.639554441
관악구,320,침엽수림,3540106.502874361
관악구,330,혼효림,5459466.939830067
관악구,420,골프장,5031.384646691083
관악구,430,기타초지,369294.3505114084
관악구,510,내륙습지,47487.045892552946
관악구,620,기타나지,1082240.8415327368
관악구,710,내륙수,47375.61753542819
광진구,110,주거지역,5237212.859264702
광진구,120,공업지역,25980.907946288444
광진구,130,상업지역,1946691.6996839454
광진구,140,위락시설지역,503705.6255845695
광진구,150,교통시설지역,2116321.9808815736
광진구,160,공공시설지역,1637201.4973913368
광진구,220,밭,20621.050473765703
광진구,320,침엽수림,2225186.965848425
광진구,330,혼효림,509978.17310584104
광진구,430,기타초지,682044.1678505619
광진구,620,기타나지,397583.38772840024
광진구,710,내륙수,1733402.873650341
구로구,110,주거지역,6668900.224977124
구로구,120,공업지역,764602.4377880016
구로구,130,상업지역,1660357.0787975288
구로구,140,위락시설지역,62585.395428758195
구로구,150,교통시설지역,3158523.4730698904
구로구,160,공공시설지역,1201341.7491982833
구로구,210,논,455837.87095541623
구로구,220,밭,989788.9291427933
구로구,230,하우스재배지,8088.668851097442
구로구,250,기타재배지,8288.500107340235
구로구,310,활엽수림,2352003.533043748
구로구,320,침엽수림,647886.3660996933
구로구,330,혼효림,286395.17731991626
구로구,420,골프장,1707.5054232038196
구로구,430,기타초지,564815.6263283005
구로구,510,내륙습지,197521.15519292734
구로구,620,기타나지,753342.914755064
구로구,710,내륙수,301374.163396399
금천구,110,주거지역,4348043.564110807
금천구,120,공업지역,1722254.9356563182
금천구,130,상업지역,806582.6486663899
금천구,150,교통시설지역,2079369.0320118386
금천구,160,공공시설지역,454236.86506438546
금천구,310,활엽수림,2307548.8003425463
금천구,320,침엽수림,109839.62989600419
금천구,330,혼효림,178743.63822340168
금천구,430,기타초지,383591.2853339594
금천구,510,내륙습지,74194.52690164765
금천구,620,기타나지,257990.68640922714
금천구,710,내륙수,288354.4212106133
노원구,110,주거지역,7704259.56865798
노원구,120,공업지역,26308.522574348208
노원구,130,상업지역,2613600.0689189727
노원구,140,위락시설지역,195112.42363155502
노원구,150,교통시설지역,3491209.168640306
노원구,160,공공시설지역,2849703.05310436
노원구,210,논,31623.258024592265
노원구,220,밭,513512.84566012
노원구,240,과수원,53308.98983150641
노원구,310,활엽수림,7546884.541109429
노원구,320,침엽수림,769333.9606577146
노원구,330,혼효림,6481721.698811404
노원구,410,자연초지,79173.02047233193
노원구,420,골프장,657683.7382672802
노원구,430,기타초지,1202922.4557188838
노원구,510,내륙습지,34489.68066585539
노원구,620,기타나지,838190.5719268135
노원구,710,내륙수,474953.7791500222
도봉구,110,주거지역,4696401.415546428
도봉구,120,공업지역,4568.187726871369
도봉구,130,상업지역,2070274.6095964322
도봉구,140,위락시설지역,64795.13488722728
도봉구,150,교통시설지역,1860175.76578202
도봉구,160,공공시설지역,751934.4521523709
도봉구,210,논,7779.705261199224
도봉구,220,밭,622138.3319109335
도봉구,230,하우스재배지,10101.222260947763
도봉구,240,과수원,9834.858819941128
도봉구,310,활엽수림,6370603.297667942
도봉구,320,침엽수림,1048652.3193477178
도봉구,330,혼효림,1969374.6488695275
도봉구,430,기타초지,725636.0291542341
도봉구,510,내륙습지,9228.278455387397
도봉구,620,기타나지,214960.0194287393
도봉구,710,내륙수,252925.54771436137
동대문구,110,주거지역,5908468.257774785
동대문구,120,공업지역,2425.5968585003575
동대문구,130,상업지역,1846252.9833035688
동대문구,140,위락시설지역,49700.624825015235
동대문구,150,교통시설지역,2254218.110760566
동대문구,160,공공시설지역,2616414.397046433
동대문구,220,밭,13839.670818386758
동대문구,330,혼효림,737333.6724560462
동대문구,420,골프장,14613.816498874066
동대문구,430,기타초지,265037.39025296713
동대문구,510,내륙습지,52291.0447540765
동대문구,620,기타나지,303671.3703337764
동대문구,710,내륙수,202103.48864725817
