SIGUNGU_NM,L2_CODE,L2_NAME,AREA_M2
강남구,110,주거지역,9673709.448251836
강남구,120,공업지역,51133.85352240258
강남구,130,상업지역,6141432.617523003
강남구,140,문화·체육·휴양지역,209540.11515025405
강남구,150,교통지역,5427642.524955354
강남구,160,공공시설지역,1383541.675425306
강남구,210,논,7094.508839242202
강남구,220,밭,1282378.1446648552
강남구,230,시설재배지,820038.7793886866
강남구,240,과수원,18985.333003816042
강남구,250,기타재배지,179205.44705437755
강남구,310,활엽수림,5270281.370376221
강남구,320,침엽수림,939266.4840962488
강남구,330,혼효림,494052.4826995955
강남구,410,자연초지,772084.2759850117
강남구,420,인공초지,2839462.029870203
강남구,510,내륙습지(수변식생),434972.9070221978
강남구,610,자연 나지,53349.40058737802
강남구,620,기타 나지,1156996.9272517306
강남구,710,내륙수,2302609.448944242
강동구,110,주거지역,7520281.597567351
강동구,120,공업지역,1882.4598159407224
강동구,130,상업지역,1614126.4412046059
강동구,140,문화·체육·휴양지역,109114.82590262726
강동구,150,교통지역,3077523.464798865
강동구,160,공공시설지역,746617.3053368981
강동구,210,논,31916.29065800412
강동구,220,밭,1234022.4786689405
강동구,230,시설재배지,1073437.6256260679
강동구,240,과수원,3397.3489304675436
강동구,250,기타재배지,77633.59732533753
강동구,310,활엽수림,2559994.2677023257
강동구,320,침엽수림,374111.7816374577
강동구,330,혼효림,173392.46854282345
강동구,410,자연초지,517858.6189301061
강동구,420,인공초지,2172262.2310134666
강동구,510,내륙습지(수변식생),96228.86330078515
강동구,620,기타 나지,1117177.5293083305
강동구,710,내륙수,2036888.4456522698
강북구,110,주거지역,6484273.935958252
강북구,130,상업지역,800314.5264553628
강북구,140,문화·체육·휴양지역,71345.99241813499
강북구,150,교통지역,1285870.2987137807
강북구,160,공공시설지역,586929.2559855134
강북구,220,밭,51860.88822647822
강북구,310,활엽수림,8320761.009612601
강북구,320,침엽수림,1427089.3671802157
강북구,330,혼효림,3124093.7751512644
강북구,410,자연초지,104746.51795954461
강북구,420,인공초지,491747.1898041675
강북구,510,내륙습지(수변식생),68575.55312775534
강북구,610,자연 나지,407271.15010850906
강북구,620,기타 나지,351701.3395799135
강북구,710,내륙수,44007.56986985654
강서구,110,주거지역,8804984.65756933
강서구,120,공업지역,123510.81777264102
강서구,130,상업지역,3110952.896129393
강서구,140,문화·체육·휴양지역,149692.0383679046
강서구,150,교통지역,6466103.773424554
강서구,160,공공시설지역,1368514.4157575623
강서구,210,논,2909712.5442110924
강서구,220,밭,1057583.7221118808
강서구,230,시설재배지,160114.45812348364
강서구,240,과수원,20751.178281235723
강서구,250,기타재배지,67052.172032065
강서구,310,활엽수림,2673597.632867856
강서구,320,침엽수림,526961.322508105
강서구,330,혼효림,259152.50182988774
강서구,410,자연초지,2800989.0732537108
강서구,420,인공초지,4258034.674420533
강서구,510,내륙습지(수변식생),271450.5878225776
강서구,610,자연 나지,4996.433983546754
강서구,620,기타 나지,2944295.4202066595
강서구,710,내륙수,3448806.498232616
관악구,110,주거지역,8220682.991775882
관악구,130,상업지역,1511673.736118515
관악구,140,문화·체육·휴양지역,146792.7168797518
관악구,150,교통지역,1937538.0300592508
관악구,160,공공시설지역,1187004.1428325858
관악구,220,밭,94330.24287700762
관악구,230,시설재배지,3197.6210655407017
관악구,250,기타재배지,4796.438106286379
관악구,310,활엽수림,7753152.336670494
관악구,320,침엽수림,3675954.717456835
관악구,330,혼효림,1747950.2359999637
관악구,410,자연초지,152926.0645018426
관악구,420,인공초지,599922.1212164997
관악구,510,내륙습지(수변식생),5096.220887159149
관악구,610,자연 나지,1959223.3965671596
관악구,620,기타 나지,472467.92269135243
관악구,710,내륙수,90511.22699242842
광진구,110,주거지역,5932481.045348867
광진구,120,공업지역,5395.83904019882
광진구,130,상업지역,1619311.945389038
광진구,140,문화·체육·휴양지역,296557.27773264865
광진구,150,교통지역,2106705.8602825417
광진구,160,공공시설지역,726941.4397710267
광진구,220,밭,34573.390984434795
광진구,230,시설재배지,3097.618656313698
광진구,310,활엽수림,1046870.2059901439
광진구,320,침엽수림,1158410.4977142308
광진구,330,혼효림,148754.04611865792
광진구,410,자연초지,109821.99113953621
광진구,420,인공초지,1192837.4649346387
광진구,510,내륙습지(수변식생),7094.542079350856
광진구,610,자연 나지,397988.2068859251
광진구,620,기타 나지,496984.5267023415
광진구,710,내륙수,1752105.290641957
구로구,110,주거지역,6595505.033383377
구로구,120,공업지역,383074.8189671521
구로구,130,상업지역,2085056.6114805934
구로구,140,문화·체육·휴양지역,88277.7505880724
구로구,150,교통지역,2975231.441864404
구로구,160,공공시설지역,738758.2262243712
구로구,210,논,61472.382121628754
구로구,220,밭,629270.1399137563
구로구,230,시설재배지,50801.37391583814
구로구,240,과수원,13240.009075146752
구로구,250,기타재배지,14389.628960981718
구로구,310,활엽수림,3084094.4991519437
