SIGUNGU_NM,L3_CODE,L3_NAME,AREA_M2
강남구,111,단독주거시설,1161648.5634787402
강남구,112,공동주거시설,2570038.312504534
강남구,121,공업시설,6585.243799951002
강남구,131,상업·업무시설,4434333.343015657
강남구,132,혼합지역,20608.351250395215
강남구,141,문화·체육·휴양시설,399828.62687511626
강남구,153,철도,99079.28825729323
강남구,154,도로,12489946.606874539
강남구,155,기타 교통·통신시설,38234.03990682746
강남구,161,환경기초시설,12067.748907485562
강남구,162,교육·행정시설,387771.92164605
강남구,163,기타 공공시설,210262.76320899787
강남구,221,경지정리가 된 밭,115.31337940392135
강남구,222,경지정리가 안 된 밭,528115.971970152
강남구,231,시설재배지,134121.07617848483
강남구,241,과수원,17767.385766770047
강남구,251,목장·양식장,1163.073332619049
강남구,252,기타재배지,119070.78037950187
강남구,311,활엽수림,5125879.013526793
강남구,321,침엽수림,924942.2494663831
강남구,331,혼효림,780699.8337967935
강남구,411,자연초지,159255.53160382566
강남구,422,묘지,151543.47455881836
강남구,423,기타초지,5332442.129084085
강남구,511,내륙습지,384073.79625543446
강남구,612,강기슭,68838.84347097251
강남구,613,암벽·바위,1300.9533066069575
강남구,622,운동장,334054.7748771695
강남구,623,기타나지,1316812.542935488
강남구,711,하천,2243975.229515838
강남구,712,호소,3200.977026934192
강동구,111,단독주거시설,1595720.615699081
강동구,112,공동주거시설,1423797.2885474411
강동구,121,공업시설,6147.339559992259
강동구,131,상업·업무시설,1598187.936694576
강동구,132,혼합지역,25341.2126899847
강동구,141,문화·체육·휴양시설,222493.41114040566
강동구,153,철도,90969.59665216088
강동구,154,도로,6861493.805523922
강동구,155,기타 교통·통신시설,10723.804695339019
강동구,161,환경기초시설,140984.2318023811
강동구,162,교육·행정시설,283277.3049221464
강동구,163,기타 공공시설,252519.21296790443
강동구,212,경지정리가 안 된 논,12490.039331808872
강동구,222,경지정리가 안 된 밭,550668.4168995788
강동구,231,시설재배지,270604.9116523954
강동구,241,과수원,4790.727938890686
강동구,252,기타재배지,40596.23095214461
강동구,311,활엽수림,2237322.5515577663
강동구,321,침엽수림,320554.5904134297
강동구,331,혼효림,155149.00712085908
강동구,411,자연초지,288948.7554754518
강동구,422,묘지,18412.72856328252
강동구,423,기타초지,3294678.6572934664
강동구,511,내륙습지,81863.13749834248
강동구,613,암벽·바위,302.1916508779591
