SIGUNGU_NM,YEAR,주거지역,공업지역,상업지역,문화체육휴양지역,교통지역,공공시설지역,농업지역,산림지역,초지,습지,나지,수역,TOTAL_CHECK
강남구,2000,14569107.11,121479.03,3830454.19,0.0,2593475.7,4455224.01,3202336.36,6501715.35,223573.62,596486.19,1090147.09,2273778.76,39457777.41
강남구,2001,14125820.5,124818.68,4091927.29,4652.97,2796676.36,4326626.65,3242998.48,6488129.18,308260.21,591299.14,1075772.4,2280795.6,39457777.46
강남구,2002,13682533.89,128158.34,4353400.4,9305.95,2999877.02,4198029.28,3283660.59,6474543.0,392946.81,586112.09,1061397.72,2287812.44,39457777.53
강남구,2003,13239247.28,131497.99,4614873.51,13958.92,3203077.67,4069431.92,3324322.71,6460956.82,477633.4,580925.04,1047023.03,2294829.27,39457777.56000001
강남구,2004,12795960.67,134837.65,4876346.62,18611.89,3406278.33,3940834.56,3364984.83,6447370.65,562319.99,575737.99,1032648.35,2301846.11,39457777.64000001
강남구,2005,12352674.06,138177.3,5137819.73,23264.87,3609478.99,3812237.19,3405646.95,6433784.47,647006.59,570550.94,1018273.66,2308862.95,39457777.7
강남구,2006,11909387.45,141516.96,5399292.83,27917.84,3812679.65,3683639.83,3446309.07,6420198.3,731693.18,565363.9,1003898.97,2315879.79,39457777.769999996
강남구,2007,11466100.84,144856.61,5660765.94,32570.81,4015880.3,3555042.47,3486971.19,6406612.12,816379.77,560176.85,989524.29,2322896.62,39457777.81
강남구,2008,11309648.75,254374.33,5713151.3,66806.21,4125204.75,3122500.56,3043860.96,6702341.74,1012807.37,579612.25,1203513.24,2323956.31,39457777.77
강남구,2009,11153196.66,363892.05,5765536.66,101041.61,4234529.2,2689958.66,2600750.73,6998071.37,1209234.97,599047.66,1417502.2,2325016.0,39457777.769999996
강남구,2010,10975608.15,290125.82,6007131.71,108770.54,4523802.56,2427930.31,2643466.35,6881414.67,1420615.64,560405.05,1262520.96,2355986.03,39457777.79
강남구,2011,10798019.65,216359.6,6248726.76,116499.46,4813075.93,2165901.95,2686181.97,6764757.97,1631996.31,521762.44,1107539.72,2386956.07,39457777.83
강남구,2012,10620431.15,142593.37,6490321.8,124228.39,5102349.29,1903873.6,2728897.58,6648101.28,1843376.98,483119.83,952558.49,2417926.1,39457777.86
강남구,2013,10442842.65,68827.15,6731916.85,131957.32,5391622.65,1641845.25,2771613.2,6531444.58,2054757.66,444477.22,797577.25,2448896.14,39457777.919999994
강남구,2014,3692902.09,6876.38,4354434.7,327955.18,12190695.6,607803.62,2024989.17,7013256.97,5211126.38,413152.37,1364170.75,2250414.55,39457777.76
강남구,2015,5188103.93,17940.75,4801184.18,298351.42,10499932.33,801738.13,2095667.43,6935842.81,4811231.36,418607.51,1325714.65,2263463.28,39457777.779999994
강남구,2016,6683305.77,29005.12,5247933.66,268747.65,8809169.06,995672.65,2166345.69,6858428.65,4411336.34,424062.64,1287258.54,2276512.0,39457777.77
강남구,2017,8178507.61,40069.49,5694683.14,239143.88,7118405.79,1189607.16,2237023.95,6781014.5,4011441.32,429517.77,1248802.43,2289560.72,39457777.76
강남구,2018,9673709.45,51133.85,6141432.62,209540.12,5427642.52,1383541.68,2307702.21,6703600.34,3611546.31,434972.91,1210346.33,2302609.45,39457777.78999999
강남구,2019,3790221.21,6585.24,4427989.37,400068.99,12687481.99,612566.75,879800.27,6896383.29,5732393.77,384073.8,1393036.87,2247176.22,39457777.76999999
강남구,2020,3804893.36,10765.95,4550489.12,382288.2,12763838.97,655042.23,962216.43,6610846.37,5838770.15,398104.63,1234202.64,2246320.47,39457778.52
강남구,2021,3731686.88,6585.24,4454941.69,399828.63,12627259.94,610102.43,800353.6,6831521.1,5643241.14,384073.8,1721007.11,2247176.21,39457777.77
강남구,2022,3714340.04,5747.29,4467713.68,394132.2,12697859.24,718903.26,673702.64,6543083.72,5709194.59,377442.91,1898106.36,2257551.65,39457777.57999999
강남구,2023,2925239.88,13444.74,3459437.65,393449.58,14834527.66,592659.5,860591.81,6466992.87,5607601.72,290581.8,1757286.36,2255964.2,39457777.769999996
강남구,2024,2957618.73,13522.36,3548054.21,414032.59,14736734.86,661382.09,809049.25,6464618.53,5512399.55,292523.89,1795518.73,2252322.97,39457777.76
강동구,2000,10697462.23,17054.93,149310.49,0.0,1613072.6,1890111.42,3803752.95,2983215.09,616714.07,0.0,717987.54,2049186.32,24537867.64
강동구,2001,10606985.5,39287.6,239256.95,2958.49,1609169.11,1767490.96,3787198.66,2981752.7,721756.46,37088.4,705976.49,2038946.33,24537867.65
강동구,2002,10516508.77,61520.27,329203.4,5916.99,1605265.62,1644870.5,3770644.38,2980290.31,826798.84,74176.79,693965.43,2028706.34,24537867.639999997
강동구,2003,10426032.04,83752.94,419149.86,8875.48,1601362.13,1522250.04,3754090.1,2978827.92,931841.23,111265.19,681954.38,2018466.35,24537867.66
강동구,2004,10335555.3,105985.61,509096.31,11833.98,1597458.64,1399629.58,3737535.82,2977365.53,1036883.62,148353.58,669943.33,2008226.36,24537867.66
강동구,2005,10245078.57,128218.28,599042.77,14792.47,1593555.14,1277009.12,3720981.54,2975903.14,1141926.01,185441.98,657932.27,1997986.37,24537867.660000004
강동구,2006,10154601.84,150450.95,688989.23,17750.97,1589651.65,1154388.66,3704427.25,2974440.75,1246968.4,222530.37,645921.22,1987746.38,24537867.669999998
강동구,2007,10064125.11,172683.62,778935.68,20709.46,1585748.16,1031768.2,3687872.97,2972978.36,1352010.79,259618.77,633910.16,1977506.39,24537867.669999998
강동구,2008,10556750.23,127196.56,548468.05,21489.94,1665943.33,938390.88,3206240.51,2992997.82,1396564.65,259281.08,847038.25,1977506.34,24537867.639999997
강동구,2009,11049375.36,81709.51,318000.41,22270.41,1746138.51,845013.56,2724608.04,3013017.27,1441118.51,258943.39,1060166.34,1977506.29,24537867.6
강동구,2010,10309802.58,67149.14,750557.39,34325.54,2056683.65,844103.1,2741548.89,3026671.01,1480136.38,211268.17,983652.17,2031969.66,24537867.68
강동구,2011,9570229.79,52588.77,1183114.36,46380.67,2367228.8,843192.64,2758489.73,3040324.75,1519154.25,163592.95,907138.0,2086433.03,24537867.74
강동구,2012,8830657.01,38028.4,1615671.34,58435.79,2677773.94,842282.18,2775430.58,3053978.49,1558172.12,115917.74,830623.82,2140896.4,24537867.809999995
강동구,2013,8091084.22,23468.04,2048228.32,70490.92,2988319.08,841371.73,2792371.42,3067632.23,1597189.99,68242.52,754109.65,2195359.78,24537867.9
강동구,2014,3130692.33,7463.07,1637483.28,160528.62,6951324.33,523723.46,1888965.57,3344742.08,3631261.43,105270.03,1112094.86,2044318.61,24537867.67
강동구,2015,4228089.65,6067.92,1631644.07,147675.17,5982874.11,579446.92,2021826.01,3285431.19,3395976.28,103009.74,1113365.53,2042461.07,24537867.660000004
강동구,2016,5325486.97,4672.77,1625804.86,134821.73,5014423.9,635170.38,2154686.46,3226120.3,3160691.14,100749.45,1114636.2,2040603.53,24537867.69
강동구,2017,6422884.28,3277.61,1619965.65,121968.28,4045973.68,690893.84,2287546.9,3166809.41,2925405.99,98489.15,1115906.86,2038745.99,24537867.639999997
강동구,2018,7520281.6,1882.46,1614126.44,109114.83,3077523.46,746617.31,2420407.34,3107498.52,2690120.85,96228.86,1117177.53,2036888.45,24537867.650000002
강동구,2019,2970286.34,7134.13,1645349.66,201366.7,6836044.98,545458.93,979739.98,3050188.75,3731969.38,95213.38,2449006.63,2026108.79,24537867.65
강동구,2020,3067083.98,7460.97,1650995.99,171447.17,6836828.91,529263.55,968501.27,3092323.72,3490113.47,82565.95,2612983.46,2028299.23,24537867.67
강동구,2021,3019517.9,6147.34,1623529.15,222493.41,6963187.21,676780.75,879150.33,2713026.15,3602040.14,81863.14,2723452.87,2026679.26,24537867.650000002
강동구,2022,3047910.85,5846.32,1619852.28,240314.37,7181955.45,563890.04,834253.3,2965589.96,3494427.67,81791.63,2478837.01,2023198.76,24537867.640000004
강동구,2023,2234038.03,2245.04,1225734.01,237491.37,8992629.0,569805.45,900839.76,2653707.84,3369521.55,79856.5,2251107.35,2020891.76,24537867.660000004
강동구,2024,2229276.2,2274.2,1302069.59,256318.09,8755172.66,455407.44,901182.64,2925240.45,3478358.08,79979.84,2131528.23,2021060.24,24537867.66
강북구,2000,8216971.85,0.0,280476.93,0.0,545774.81,627997.15,20752.17,13610035.0,82490.34,0.0,172742.44,63347.68,23620588.37
강북구,2001,7820052.56,16275.34,553862.41,10125.16,626736.52,630030.02,34885.24,13593647.5,95857.74,464.94,176880.4,61770.56,23620588.389999997
강북구,2002,7423133.28,32550.68,827247.89,20250.32,707698.22,632062.89,49018.3,13577260.0,109225.14,929.88,181018.36,60193.44,23620588.400000002
강북구,2003,7026213.99,48826.01,1100633.37,30375.49,788659.92,634095.76,63151.37,13560872.49,122592.55,1394.82,185156.32,58616.32,23620588.41
강북구,2004,6629294.71,65101.35,1374018.85,40500.65,869621.63,636128.63,77284.43,13544484.99,135959.95,1859.76,189294.28,57039.2,23620588.430000003
강북구,2005,6232375.42,81376.69,1647404.33,50625.81,950583.33,638161.5,91417.5,13528097.48,149327.35,2324.7,193432.23,55462.07,23620588.410000004
강북구,2006,5835456.14,97652.03,1920789.81,60750.97,1031545.04,640194.37,105550.56,13511709.98,162694.76,2789.64,197570.19,53884.95,23620588.44
강북구,2007,5438536.85,113927.36,2194175.3,70876.13,1112506.74,642227.24,119683.62,13495322.48,176062.16,3254.58,201708.15,52307.83,23620588.439999994
강북구,2008,5344955.85,62706.45,2201993.0,57495.04,1111159.31,620035.29,118190.5,13466586.09,211363.19,3254.61,371315.91,51533.24,23620588.48
강북구,2009,5251374.84,11485.53,2209810.71,44113.96,1109811.88,597843.33,116697.38,13437849.7,246664.23,3254.63,540923.67,50758.64,23620588.5
강북구,2010,5558311.22,8614.15,1928620.07,57423.0,1152441.19,640567.52,104097.62,13235688.67,317019.07,2440.97,550440.21,64924.8,23620588.49
강북구,2011,5865247.61,5742.76,1647429.43,70732.04,1195070.49,683291.7,91497.87,13033527.64,387373.92,1627.31,559956.75,79090.95,23620588.47
강북구,2012,6172183.99,2871.38,1366238.78,84041.09,1237699.8,726015.89,78898.12,12831366.6,457728.76,813.66,569473.29,93257.1,23620588.46
강북구,2013,6479120.38,0.0,1085048.14,97350.13,1280329.1,768740.07,66298.36,12629205.57,528083.61,0.0,578989.82,107423.25,23620588.43
강북구,2014,3509004.3,3153.68,1128664.96,117577.93,3614800.5,424986.9,66659.02,12712606.45,1068945.2,47092.28,898602.22,28494.95,23620588.389999997
강북구,2015,4252821.71,2365.26,1046577.35,106019.94,3032567.95,465472.49,62959.49,12752440.88,950832.32,52463.1,863694.79,32373.1,23620588.380000003
강북구,2016,4996639.12,1576.84,964489.74,94461.96,2450335.4,505958.08,59259.95,12792275.3,832719.45,57833.92,828787.35,36251.26,23620588.370000005
강북구,2017,5740456.53,788.42,882402.14,82903.98,1868102.85,546443.67,55560.42,12832109.73,714606.58,63204.74,793879.92,40129.41,23620588.39
강북구,2018,6484273.94,0.0,800314.53,71345.99,1285870.3,586929.26,51860.89,12871944.15,596493.71,68575.55,758972.49,44007.57,23620588.380000003
강북구,2019,3473666.09,2941.86,1127956.07,144086.77,3667538.41,441791.28,59646.3,12669065.49,1175153.12,52212.02,775995.36,30535.6,23620588.37
강북구,2020,3468035.63,3153.68,1126418.07,139528.85,3643997.4,427819.28,62214.85,12690236.03,1154671.51,47034.85,828990.16,28487.74,23620588.05
강북구,2021,3466358.29,2622.11,1119999.13,144170.8,3703393.48,440364.0,57496.69,12694657.03,1164393.34,52212.03,744385.86,30535.6,23620588.36
강북구,2022,3420257.98,2622.11,1113171.35,149933.15,3702910.86,426154.85,57319.28,12708275.17,1175018.19,52212.03,782177.79,30535.6,23620588.360000003
강북구,2023,2277253.9,3751.34,939747.0,141960.06,5240379.34,343529.75,79787.98,12646298.35,1098306.39,51052.3,768085.88,30436.13,23620588.419999998
강북구,2024,2281043.63,3748.91,944515.28,142756.26,5215093.79,353066.16,82024.57,12625066.26,1088489.2,51052.3,803330.79,30401.22,23620588.369999997
강서구,2000,10481153.75,1425907.74,2017253.46,9259.44,5155839.72,3514737.86,8511537.84,2683568.52,3973417.85,172632.51,279736.98,3202181.8,41427227.46999999
강서구,2001,10015803.25,1290269.76,2289858.66,12818.2,5357846.62,3561546.39,8406885.81,2661492.41,3927669.51,175184.55,512346.07,3215510.45,41427231.67999999
강서구,2002,9550452.74,1154631.79,2562463.86,16376.95,5559853.53,3608354.92,8302233.78,2639416.3,3881921.16,177736.58,744955.15,3228839.11,41427235.87
강서구,2003,9085102.24,1018993.81,2835069.06,19935.71,5761860.43,3655163.44,8197581.75,2617340.19,3836172.81,180288.62,977564.23,3242167.76,41427240.05
강서구,2004,8619751.74,883355.83,3107674.25,23494.47,5963867.33,3701971.97,8092929.72,2595264.08,3790424.46,182840.66,1210173.32,3255496.41,41427244.239999995
강서구,2005,8154401.24,747717.86,3380279.45,27053.23,6165874.23,3748780.5,7988277.69,2573187.97,3744676.11,185392.7,1442782.4,3268825.07,41427248.45
강서구,2006,7689050.73,612079.88,3652884.65,30611.98,6367881.13,3795589.03,7883625.66,2551111.86,3698927.76,187944.73,1675391.49,3282153.72,41427252.62
강서구,2007,7223700.23,476441.9,3925489.85,34170.74,6569888.03,3842397.55,7778973.63,2529035.75,3653179.42,190496.77,1908000.57,3295482.37,41427256.81
강서구,2008,7186067.97,351094.33,3939652.07,49491.28,6608924.42,3662808.04,7676046.15,2649191.27,3909722.11,101790.63,2033907.03,3292666.03,41461361.330000006
강서구,2009,7148435.71,225746.75,3953814.29,64811.81,6647960.8,3483218.52,7573118.68,2769346.78,4166264.8,13084.48,2159813.48,3289849.7,41495465.8
강서구,2010,7513346.98,204720.69,3854553.28,81137.54,6562007.43,3036506.84,6729068.37,2928757.71,4794494.63,138952.21,2317230.29,3317637.56,41478413.53000001
강서구,2011,7878258.25,183694.64,3755292.27,97463.27,6476054.05,2589795.15,5885018.06,3088168.64,5422724.45,264819.95,2474647.1,3345425.42,41461361.25000001
강서구,2012,8243169.52,162668.58,3656031.27,113789.0,6390100.68,2143083.47,5040967.75,3247579.57,6050954.27,390687.68,2632063.91,3373213.28,41444308.980000004
강서구,2013,8608080.79,141642.52,3556770.26,130114.73,6304147.3,1696371.79,4196917.44,3406990.5,6679184.1,516555.41,2789480.71,3401001.15,41427256.699999996
강서구,2014,3968207.63,68226.93,2131699.85,255226.88,12285309.16,914388.09,3892537.75,3372786.37,7745076.72,354321.17,3000908.22,3438568.05,41427256.82
강서구,2015,5177401.89,82047.9,2376513.11,228843.17,10830507.81,1027919.67,3973206.83,3394517.64,7573563.47,333603.52,2988004.13,3441127.66,41427256.80000001
강서구,2016,6386596.15,95868.88,2621326.37,202459.46,9375706.47,1141451.25,4053875.91,3416248.91,7402050.23,312885.88,2975100.04,3443687.27,41427256.82000001
강서구,2017,7595790.4,109689.85,2866139.63,176075.75,7920905.12,1254982.83,4134544.99,3437980.19,7230536.99,292168.23,2962195.95,3446246.89,41427256.82
강서구,2018,8804984.66,123510.82,3110952.9,149692.04,6466103.77,1368514.42,4215214.07,3459711.46,7059023.75,271450.59,2949291.85,3448806.5,41427256.830000006
강서구,2019,4074512.62,67113.42,2415364.81,316824.75,13409253.17,915657.0,3339309.01,3355521.58,7373498.91,265527.89,2538061.83,3356611.84,41427256.83
강서구,2020,4075890.17,67955.12,2417489.46,349842.11,13345883.97,927404.67,3268396.48,3363628.3,7339589.22,264803.12,2652404.4,3353969.8,41427256.82
강서구,2021,4054635.65,67113.42,2437511.89,315353.78,13375118.23,918996.37,3329252.43,3280886.47,7373473.64,255569.36,2621108.79,3398236.8,41427256.82999999
강서구,2022,4066614.05,69252.33,2462942.17,324948.62,13438637.52,932038.76,3319006.74,3280886.47,7848609.92,255569.36,2030514.07,3398236.8,41427256.809999995
강서구,2023,3031263.9,50076.93,2229262.81,327143.3,12579737.58,785384.42,3061156.94,8442345.87,5519659.0,240411.15,1719348.23,3441466.67,41427256.8
강서구,2024,3022202.23,40385.61,2289179.35,358500.88,14276118.29,817368.65,3034114.4,3237885.23,8794520.89,237629.36,1872244.81,3447107.12,41427256.82
관악구,2000,11310243.07,0.0,686681.7,0.0,591043.62,2334134.12,78522.91,13535340.53,204437.22,0.0,822817.0,0.0,29563220.169999994
관악구,2001,10939131.57,0.0,713389.42,559.64,906696.24,2258134.01,79635.46,13563537.47,228707.0,6783.86,859877.55,6767.95,29563220.17
관악구,2002,10568020.06,0.0,740097.14,1119.27,1222348.86,2182133.9,80748.02,13591734.4,252976.79,13567.73,896938.1,13535.89,29563220.16
관악구,2003,10196908.56,0.0,766804.87,1678.91,1538001.48,2106133.78,81860.57,13619931.34,277246.58,20351.59,933998.65,20303.84,29563220.169999994
